Column Name,Data Type,Units,Description
pacifica.brakeRpt1f04.parkingBrakeStatus,object,,
pacifica.prndRpt1f05.stateActual,object,,What is the vehicle state? (DRIVE)
pacifica.prndRpt1f05.stateReject,Boolean,,
pacifica.prndRpt1f05.driverActivity,Boolean,,
pacifica.prndRpt1f05.fault,Boolean,,
pacifica.prndRpt1f05.enabled,Boolean,,
pacifica.miscRpt1f01.miscDbwEnabled,Boolean,,
pacifica.miscRpt1f01.miscFault,Boolean,,
pacifica.miscRpt1f01.miscAkitCommFault,Boolean,,
pacifica.miscRpt1f01.miscBywireReady,Boolean,,Drive by wire status (True = Ready/ False = Not Ready)
pacifica.miscRpt1f01.miscDriverActivity,Boolean,,
pacifica.miscRpt1f01.miscVehReadyToDrive,Boolean,,
pacifica.miscRpt1f01.miscVehSpeed,float64,,
pacifica.miscRpt1f01.miscFuelLevel,float64,Percentage,Fuel tank percentage (0% - 100%)
pacifica.miscRpt1f01.miscSoftwareBuildNumber,float64,,Apollo Software Build Number
pacifica.miscRpt1f01.miscAmbientTemp,float64,Degrees,Ambient Temperature in Celsius
